president	url	date	sentence	themes
Emmanuel Macron	https://www.vie-publique.fr/discours/207626-declaration-de-m-emmanuel-macron-president-de-la-republique-sur-les-d	2018-12-31	Françaises, Français, mes chers compatriotes de l'Hexagone et des outre-mer,	first
Emmanuel Macron	https://www.vie-publique.fr/discours/207626-declaration-de-m-emmanuel-macron-president-de-la-republique-sur-les-d	2018-12-31	Fidèle à une tradition qui nous est chère, je suis heureux de vous présenter tous mes vœux pour l'année qui s'ouvre.	intro
Emmanuel Macron	https://www.vie-publique.fr/discours/207626-declaration-de-m-emmanuel-macron-president-de-la-republique-sur-les-d	2018-12-31	L'année 2018 ne nous a pas épargnés en émotions intenses de toutes natures.	crise
Emmanuel Macron	https://www.vie-publique.fr/discours/207626-declaration-de-m-emmanuel-macron-president-de-la-republique-sur-les-d	2018-12-31	La France a connu de grands moments : des victoires sportives, de grands évènements culturels, la célébration du centenaire de l'Armistice de 1918 et j'ai porté à cette occasion la voix de la France pour la paix.	france,international,
Emmanuel Macron	https://www.vie-publique.fr/discours/207626-declaration-de-m-emmanuel-macron-president-de-la-republique-sur-les-d	2018-12-31	Le Premier ministre avec son gouvernement et le Parlement, en 2018, ont fait beaucoup pour le pays.	france,institutions,international,
Emmanuel Macron	https://www.vie-publique.fr/discours/207626-declaration-de-m-emmanuel-macron-president-de-la-republique-sur-les-d	2018-12-31	Je ne vais pas ici tout énumérer mais nombre de transformations qu'on pensait jusqu'alors impossibles comme celle du travail ou des chemins de fer, ont été menées à bien.	travail,
Emmanuel Macron	https://www.vie-publique.fr/discours/207626-declaration-de-m-emmanuel-macron-president-de-la-republique-sur-les-d	2018-12-31	Ils ont lancé une action forte pour notre école, nos universités, l'apprentissage et l'alternance, l'attractivité de notre pays.	france,réforme,international,éducation,
Emmanuel Macron	https://www.vie-publique.fr/discours/207626-declaration-de-m-emmanuel-macron-president-de-la-republique-sur-les-d	2018-12-31	Ils ont posé les bases d'une stratégie ambitieuse pour améliorer l'organisation de nos hôpitaux, nos cliniques et nos médecins, pour lutter contre le réchauffement climatique, éradiquer la grande pauvreté et permettre à nos concitoyens en situation de handicap de trouver leur place dans la société.	société,écologie,
Emmanuel Macron	https://www.vie-publique.fr/discours/207626-declaration-de-m-emmanuel-macron-president-de-la-republique-sur-les-d	2018-12-31	Les résultats ne peuvent pas être immédiats et l'impatience - que je partage - ne saurait justifier aucun renoncement.	réforme,
Emmanuel Macron	https://www.vie-publique.fr/discours/207626-declaration-de-m-emmanuel-macron-president-de-la-republique-sur-les-d	2018-12-31	Le gouvernement, dans les prochains mois, devra poursuivre ce travail pour ancrer nombre de ces réformes dans notre quotidien mais aussi pour changer en profondeur les règles de l'indemnisation du chômage afin d'inciter davantage à reprendre le travail, l'organisation du secteur public pour le rendre plus efficace et notre système de retraite pour le rendre plus juste.	travail,institutions,réforme,crise,
